seconds_interaction_window,triad_01_MG_P1P2,triad_02_MG_P1P2,triad_03_MG_P1P2,triad_04_MG_P1P2,triad_05_MG_P1P2,triad_06_MG_P1P2,triad_07_MG_P1P2,triad_08_MG_P1P2,triad_09_MG_P1P2,triad_10_MG_P1P2,triad_11_MG_P1P2,triad_14_MG_P1P2,triad_12_MG_P1P2,triad_13_MG_P1P2
345.0,0.0,0.0,0.0,0.0,0.0,0.026058631921824105,0.0,0.1044776119402985,0.5875486381322957,0.0,,0.0,0.0,0.14855072463768115
350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2178988326848249,0.020618556701030927,,0.0,0.0,0.03180212014134275
355.0,0.0,0.0,0.0,0.0,0.09345794392523364,0.0,0.0,0.0,0.28076923076923077,0.0,,0.0,0.0,0.137546468401487
360.0,0.12406947890818859,0.0,0.0,0.0,0.0030581039755351682,0.0231023102310231,0.0,0.0,0.01532567049808429,0.0,,0.0,0.0,0.0
365.0,0.0,0.0,0.0,0.0,0.07384615384615385,0.0,0.0,0.0,0.052,0.0,,0.0,0.0,0.0
370.0,0.0,0.0,0.0,0.0,0.11490683229813664,0.0,0.0,0.0,0.14960629921259844,0.006666666666666667,,0.0,0.0,0.007246376811594203
375.0,0.47642679900744417,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.3229571984435798,0.04861111111111111,,0.0,0.0,0.03690036900369004
380.0,0.22443890274314215,0.0,0.0,0.0,0.0380952380952381,0.0,0.0,,0.028688524590163935,0.0,,0.0,0.14016172506738545,0.0
385.0,0.017587939698492462,0.0,0.0,0.0,0.006153846153846154,0.04590163934426229,0.0,,0.047619047619047616,0.0,,0.0,0.0,0.0
390.0,0.0,0.047979797979797977,0.0,0.0,0.0,0.0,0.0,,0.17842323651452283,0.0,,0.0,0.0,0.02456140350877193
395.0,0.057692307692307696,0.0,0.0,0.0,0.05246913580246913,0.0,0.0,,0.045081967213114756,0.0,,0.0,0.0,0.296028880866426
400.0,0.11,0.0,0.0,0.0,0.0,0.03741496598639456,0.0,,0.13765182186234817,0.0,,0.0,0.0,0.07011070110701106
405.0,0.145679012345679,0.0,0.0,0.0,0.0,0.2053872053872054,0.0,,0.0,0.0,,0.0,0.0,0.2743682310469314
410.0,0.09296482412060302,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,,0.15966386554621848,,,0.0,0.0,0.0
415.0,0.0,0.0,0.0,0.0,0.006230529595015576,0.0,0.0,,0.24489795918367346,,,0.0,0.0,0.0
420.0,0.0,0.0,0.0,0.0,0.009316770186335404,0.0,0.0,,0.0,,,0.0,0.0,0.0
425.0,0.0,0.0,0.0028169014084507044,0.0,0.033846153846153845,0.06354515050167224,0.0,,0.0,,,0.0,0.0,0.20802919708029197
430.0,0.022058823529411766,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,,0.09126984126984126,,,0.0,0.0,0.0
435.0,0.0,0.023076923076923078,0.0,0.0,0.06521739130434782,0.0,,,0.2125,,,0.0,0.0,0.11355311355311355
440.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.10780669144981413
445.0,0.0025380710659898475,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.4175824175824176
450.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.059895833333333336,0.23722627737226276
455.0,0.029339853300733496,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.12546125461254612
